No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
200,7601,cfa97ebb1da831238c012196bd21c405,2295,?,0,0,?,10,1,14,0,0,0,0.010079,20737,209,1,32960,cluster1
201,1820,305cf92f5d4236b9b23dbf706d68f2cc,2292,?,0,1,?,21,1,26,1,0,0,0.14804,95528,14142,1,60719,cluster1
202,5322,8fc97681259d37c88aa1bb3fda4ab9e6,2290,?,0,0,?,22,1,16,1,0,0,1.099678,16473,18115,1,37016,cluster1
203,6909,bd109fd83011323eaf0bdcf4787cd69b,2290,?,0,1,?,18,1,73,1,0,0,0.00133,21805,29,1,168889,cluster1
204,1722,2dc283016cc4339fba9318bbcedc7bc1,2280,?,0,0,?,14,1,1,1,0,0,0.15705,15148,2379,1,4131,cluster1
205,4162,70e75e25fe6433f99ad9081d475c529d,2276,?,0,2,?,18,1,6,1,0,0,0.354367,18859,6683,1,14810,cluster1
206,4535,7a6d9e1e65a0318e981ac3d4b3681d3c,2274,?,0,0,9390.292857,0,2,235,0,0,0,0.786047,645,507,8,536419,cluster1
207,6918,bd5a26a083a636888c4b3204e15529c2,2270,?,0,0,1365.033333,16.5,1,34,1,0,0,0.172638,39632,6842,2,77958,cluster1
208,52,015c859804fc3d1d8937aa13c844064e,2267,?,0,1,2929.158333,13.571429,3.5,0,0,0,0,0.611872,219,134,7,1958,cluster1
209,310,086b0446a5753234a6f416e795ea9abb,2259,?,0,0,?,15,1,6,0,0,0,0.390582,20577,8037,1,14497,cluster1
210,3483,5ee5326b5e053fdf91c8cfbcdd948129,2241,?,0,0,?,0,1,305,0,0,0,1.070468,1859,1990,1,683657,cluster1
211,4310,746561df84e83a48a250ebdc2dbf4034,2237,?,0,0,1431.066667,13.5,1,53,0.5,0,0,0.062872,14617,919,2,119565,cluster1
212,3579,61728a0fc141321fa9952adafad963e6,2229,?,0,0,0.116667,10.5,2,4,1.5,0,0,0.70696,6767,4784,2,9514,cluster1
213,6011,a46335d793ac34d19a0570575ee74a01,2229,?,0,1,0.033333,18,2,320,0,1,0,0.007326,819,6,2,713861,cluster1
214,126,0323bcfe2efe32849671f91412162caa,2227,?,0,0,?,28,1,0,1,1,0,0.005847,42585,249,1,1817,cluster1
215,5193,8c2b1f0167eb35818689282997d1fc0f,2214,?,0,0.333333,2760.166667,14,1.5,112,1,0,0,2.03362,2439,4960,3,248901,cluster1
216,2120,384be3c2ef39324a9f84cf15a3a222dd,2209,?,0,0,?,10,1,5,0,0,0,0.882877,31676,27966,1,11521,cluster1
217,4437,77adb0fc9d2a35329e6a1f4e8eafa4b3,2200,?,0,1,?,15,1,227,0,0,0,0.959476,1604,1539,1,501084,cluster1
218,6578,b3e6abebfd35367aa845839b28c3546d,2199,?,0,1,4417.05,19.6,1.25,75,0,0,0,1.122771,2411,2707,5,166896,cluster1
219,7133,c2e59561e71832069eb957955702630d,2189,?,0,0,1014.295833,8.4,1.666667,61,0.4,0,0,0.20369,10570,2153,5,134164,cluster1
220,752,145a97068e8f36dd8808548976909846,2188,?,0,1,?,23,1,49,0,0,0,0.937175,30195,28298,1,108450,cluster1
221,4855,8296d658a1163ffcb92e100502906765,2187,?,0,1,?,18,1,137,0,0,0,0,1091,0,1,301338,cluster1
222,8854,f41dc48f13e23b4eabe8327cb3ddbd58,2178,?,0,1,?,17,1,136,0,0,0,1.095972,5189,5687,1,297444,cluster1
223,7028,c006371919a53b689e99c8260f0929b8,2172,?,0,2,?,19,1,25,0,0,0,0.000889,31483,28,1,56429,cluster1
224,1508,2818cd5055293ed5be41315b98a4cac7,2160,?,0,1,9120.275,18,1,8,0,0,0,0.903349,7884,7122,3,18106,cluster1
225,8721,f0701f41e7553539bc9787d67cbdebe5,2158,?,0,0,?,2,1,6,1,0,0,0.481324,49395,23775,1,14148,cluster1
226,4718,7f6d2229ea68350cafd57b45ed7a72c6,2157,?,0,1.25,2974.866667,15.5,1.333333,165,0.5,1,0,0.000411,2434,1,4,356225,cluster1
227,5547,964bdb6efb7c3c9687ebf66047cbc281,2145,?,0,2,?,18,1,91,1,0,0,0.439556,25569,11239,1,195704,cluster1
228,8774,f2124592a17834f1b85d8fdc4f747d97,2145,?,0,0,?,0,1,16,0,0,0,0.72532,53171,38566,1,34983,cluster1
229,1447,26a80f882c19355a88c7602ef369cd38,2142,?,0,2,?,13,1,114,0,0,0,0.64278,16718,10746,1,244634,cluster1
230,108,02b1652188453137a4d6cc6dec8fa785,2116,?,0,2,?,19,1,10,0,0,0,0.04774,84143,4017,1,21390,cluster1
231,85,023793c9fff7360985479ba233e2c1d1,2110,?,0,0.333333,3758.408333,14.333333,1.5,71,1,0,0,1.431298,3406,4875,3,150781,cluster1
232,6814,ba002959e39e3a48bf7fd150249c17e6,2107,?,0,1,9867.866667,17.333333,1.5,486,0,1,0,0.382353,5984,2288,3,1025614,cluster1
233,2315,3e0820fdab6f3329b8cfaf1be2df57ab,2103,?,0,1.75,4.388889,12.75,4,1,0,0,0,1.497507,1003,1502,4,2444,cluster1
234,7338,c859ec768e7a34bb8d2cf840703bcba8,2096,?,0,0.4,1411.808333,14.4,1.666667,279,1,1,0,1.095622,4842,5305,5,586316,cluster1
235,5441,9330987949b93cd1a42b60e6edfd9a08,2094,?,0,1,4409.470833,19.6,1.25,58,0,1,0,1.104489,2718,3002,5,122114,cluster1
236,3006,51bdbea50674395197daca096d0dc4ff,2091,?,0,1,?,17,1,41,0,1,0,0.879497,145108,127622,1,86489,cluster1
237,6541,b33551ba807434238ecd05236ec5417b,2091,?,0,2,1476.133333,21,1,1,2.5,0,0,0.848601,7041,5975,2,2575,cluster1
238,106,029fee486bbe3549b4de6f0fd53a3ec7,2074,?,0,0,?,11,1,28,1,0,0,0.011102,12790,142,1,59625,cluster1
239,4947,8513a8822f313c7faa35f7c0d93a1bed,2061,?,0,0,?,10,1,131,1,0,0,1.036209,8230,8528,1,271751,cluster1
