No,Instance_number,author_guid,account_age,author_type,average_post_lenth,average_posts_per_day_total,average_user_mentions,boosting_timeslots_count,friends_followers_ratio,number_followers,number_friends,number_of_posts,number_pointers,Cluster
277,999,2d928d8d86e231a181f682e254198575,?,?,18,?,0,?,0,?,?,?,?,cluster2
278,1054,3039c8cbf5d5392abd4ef55137f9be42,?,?,18,?,0,?,0,?,?,?,?,cluster2
279,1448,43571b5812613d658d2bd0c559ff5d30,?,?,18,?,0,?,0,?,?,?,?,cluster2
280,2145,63e70e0449533181b54eff033e54af92,?,?,18,?,0,?,0,?,?,?,?,cluster2
281,2570,765534b48e563ce19d1045025eedb5bd,?,?,18,?,0,?,0,?,?,?,?,cluster2
282,2617,77eeecd62cfa3ff4ae779ce674b860ec,?,?,18,?,0,?,0,?,?,?,?,cluster2
283,2641,79615986bc0f325994518ee93cb09ca8,?,?,18,?,0,?,0,?,?,?,?,cluster2
284,2958,882db808f58237b098a07cce49738914,?,?,18,?,0,?,0,?,?,?,?,cluster2
285,3100,8ed4816f9f3d302bba0e23ba6f282ee0,?,?,18,?,0,?,0,?,?,?,?,cluster2
286,3478,a3395634c1fb367893db356ab4f1a8bb,?,?,18,?,0,?,0,?,?,?,?,cluster2
287,4022,bd8ec2e919133708b37ff8c352e0aa73,?,?,18,?,0,?,0,?,?,?,?,cluster2
288,4117,c25df68ec5cf3113aa50732e5b281fb0,?,?,18,?,0,?,0,?,?,?,?,cluster2
289,5129,f1cf6e6d1c9632d6a35b5026967bbdd8,?,?,18,?,0,?,0,?,?,?,?,cluster2
290,2914,85f5760649373242bb25e24c70500f58,?,?,17.5,?,0,?,0,?,?,?,?,cluster2
291,4629,d99ba3193cca3c4ca9246aa8287dcb40,?,?,17.5,?,0,?,0,?,?,?,?,cluster2
292,64,030845f3c3aa364091d8a85bc0e14613,?,?,17,?,0,?,0,?,?,?,?,cluster2
293,559,198855afe670375797ee3528bc42baa5,?,?,17,?,0,?,0,?,?,?,?,cluster2
294,1191,36336dab97f7339eb6687e69a69453a3,?,?,17,?,0,?,0,?,?,?,?,cluster2
295,1452,43b9c436358b3af69bb416cab633af59,?,?,17,?,0,?,0,?,?,?,?,cluster2
296,1967,5c56c8d67a0630a2ada53c83703f654d,?,?,17,?,0,?,0,?,?,?,?,cluster2
297,2139,63ad162883103de98b3ae9044abcda0c,?,?,17,?,0,?,0,?,?,?,?,cluster2
298,2787,805bf301201b39db8be2b40912d89b59,?,?,17,?,0,?,0,?,?,?,?,cluster2
299,4165,c414cbfd94373e168c983d641190e2d5,?,?,17,?,0,?,0,?,?,?,?,cluster2
300,4407,ceedd59a41bb3d27b3d9d45688279993,?,?,17,?,0,?,0,?,?,?,?,cluster2
301,4528,d4aa1eee99f239ca928b1b33eafc5e76,?,?,17,?,0,?,0,?,?,?,?,cluster2
302,4736,ded887e2c69435168d482e43238d1e5d,?,?,17,?,0,?,0,?,?,?,?,cluster2
303,209,0a32560c5bae39d5bb6bd89063fcc456,?,?,16,?,0,?,0,?,?,?,?,cluster2
304,326,10462dfc8d53319d998f33d1e8a81fe0,?,?,16,?,0,?,0,?,?,?,?,cluster2
305,520,17f43e93b42a3d9b9310890d833662bb,?,?,16,?,0,?,0,?,?,?,?,cluster2
306,1203,3708f6fe38b13228994251f79dc3c8bc,?,?,16,?,0,?,0,?,?,?,?,cluster2
307,1650,4d84710e920339128ba72d3000769bbb,?,?,16,?,0,?,0,?,?,?,?,cluster2
308,2153,641fca93924e321184068ee736850358,?,?,16,?,0,?,0,?,?,?,?,cluster2
309,2599,774ef8a3f3b73d3e9389795fdee997d5,?,?,16,?,0,?,0,?,?,?,?,cluster2
