inst#,actual,predicted,error,prediction
604,1:?,2:good_actor,,0.928
605,1:?,2:good_actor,,0.928
606,1:?,2:good_actor,,0.928
607,1:?,2:good_actor,,0.928
608,1:?,2:good_actor,,0.928
609,1:?,2:good_actor,,0.928
610,1:?,2:good_actor,,0.928
611,1:?,2:good_actor,,0.928
612,1:?,2:good_actor,,0.928
613,1:?,2:good_actor,,0.928
614,1:?,2:good_actor,,0.928
615,1:?,2:good_actor,,0.928
616,1:?,2:good_actor,,0.928
617,1:?,2:good_actor,,0.928
618,1:?,1:bad_actor,,1
619,1:?,2:good_actor,,0.928
620,1:?,2:good_actor,,0.928
621,1:?,2:good_actor,,0.928
622,1:?,2:good_actor,,0.928
623,1:?,2:good_actor,,0.928
624,1:?,2:good_actor,,0.928
625,1:?,2:good_actor,,0.928
626,1:?,2:good_actor,,0.928
627,1:?,2:good_actor,,0.928
628,1:?,2:good_actor,,0.928
629,1:?,2:good_actor,,0.928
630,1:?,2:good_actor,,0.928
631,1:?,2:good_actor,,0.928
632,1:?,2:good_actor,,0.928
633,1:?,2:good_actor,,0.928
634,1:?,2:good_actor,,0.928
635,1:?,1:bad_actor,,1
636,1:?,1:bad_actor,,1
637,1:?,2:good_actor,,0.928
638,1:?,2:good_actor,,0.928
639,1:?,1:bad_actor,,1
640,1:?,2:good_actor,,0.928
641,1:?,2:good_actor,,0.928
642,1:?,2:good_actor,,0.928
643,1:?,2:good_actor,,0.928
644,1:?,2:good_actor,,0.928
645,1:?,2:good_actor,,0.928
646,1:?,2:good_actor,,0.928
647,1:?,2:good_actor,,0.928
648,1:?,2:good_actor,,0.928
649,1:?,2:good_actor,,0.928
650,1:?,2:good_actor,,0.928
651,1:?,1:bad_actor,,1
652,1:?,2:good_actor,,0.8
653,1:?,1:bad_actor,,1
654,1:?,2:good_actor,,0.928
655,1:?,2:good_actor,,0.928
656,1:?,2:good_actor,,0.928
657,1:?,2:good_actor,,0.928
658,1:?,2:good_actor,,0.928
659,1:?,2:good_actor,,0.928
660,1:?,2:good_actor,,0.928
661,1:?,2:good_actor,,0.928
662,1:?,2:good_actor,,0.928
663,1:?,2:good_actor,,0.928
664,1:?,2:good_actor,,0.928
665,1:?,2:good_actor,,0.928
666,1:?,2:good_actor,,0.928
667,1:?,2:good_actor,,0.928
668,1:?,2:good_actor,,0.928
669,1:?,2:good_actor,,0.8
670,1:?,2:good_actor,,0.928
671,1:?,2:good_actor,,0.928
672,1:?,2:good_actor,,0.928
673,1:?,2:good_actor,,0.928
674,1:?,2:good_actor,,0.928
675,1:?,2:good_actor,,0.928
676,1:?,2:good_actor,,0.928
677,1:?,2:good_actor,,0.928
678,1:?,2:good_actor,,0.928
679,1:?,2:good_actor,,0.928
680,1:?,2:good_actor,,0.9
681,1:?,2:good_actor,,0.9
682,1:?,2:good_actor,,0.928
683,1:?,2:good_actor,,0.928
684,1:?,2:good_actor,,0.928
685,1:?,2:good_actor,,0.928
686,1:?,2:good_actor,,0.928
687,1:?,2:good_actor,,0.928
688,1:?,2:good_actor,,0.928
689,1:?,2:good_actor,,0.928
690,1:?,2:good_actor,,0.928
691,1:?,2:good_actor,,0.928
692,1:?,2:good_actor,,0.928
693,1:?,2:good_actor,,0.928
694,1:?,1:bad_actor,,1
695,1:?,2:good_actor,,0.928
696,1:?,2:good_actor,,0.928
697,1:?,2:good_actor,,0.928
698,1:?,2:good_actor,,0.9
699,1:?,2:good_actor,,0.928
700,1:?,2:good_actor,,0.928
701,1:?,2:good_actor,,0.9
702,1:?,2:good_actor,,0.928
703,1:?,2:good_actor,,0.928
704,1:?,2:good_actor,,0.928
705,1:?,2:good_actor,,0.8
706,1:?,2:good_actor,,0.928
707,1:?,2:good_actor,,0.928
708,1:?,2:good_actor,,0.928
709,1:?,2:good_actor,,0.928
710,1:?,2:good_actor,,0.8
711,1:?,2:good_actor,,0.928
712,1:?,2:good_actor,,0.928
713,1:?,2:good_actor,,0.928
714,1:?,2:good_actor,,0.8
715,1:?,2:good_actor,,0.928
716,1:?,2:good_actor,,0.928
717,1:?,2:good_actor,,1
718,1:?,2:good_actor,,0.928
719,1:?,2:good_actor,,0.928
720,1:?,2:good_actor,,0.928
721,1:?,2:good_actor,,0.928
722,1:?,2:good_actor,,0.928
723,1:?,2:good_actor,,0.928
724,1:?,2:good_actor,,0.928
725,1:?,2:good_actor,,0.928
726,1:?,2:good_actor,,0.928
727,1:?,2:good_actor,,0.928
728,1:?,2:good_actor,,0.928
729,1:?,2:good_actor,,0.928
730,1:?,2:good_actor,,0.928
731,1:?,2:good_actor,,0.928
732,1:?,2:good_actor,,0.928
733,1:?,2:good_actor,,0.928
734,1:?,2:good_actor,,0.928
735,1:?,2:good_actor,,1
736,1:?,2:good_actor,,0.928
737,1:?,2:good_actor,,0.928
738,1:?,2:good_actor,,0.928
739,1:?,2:good_actor,,0.928
740,1:?,2:good_actor,,0.928
741,1:?,2:good_actor,,0.928
742,1:?,2:good_actor,,0.928
743,1:?,2:good_actor,,0.928
744,1:?,2:good_actor,,0.928
745,1:?,2:good_actor,,0.928
746,1:?,2:good_actor,,0.928
747,1:?,2:good_actor,,0.928
748,1:?,2:good_actor,,0.928
749,1:?,2:good_actor,,0.928
750,1:?,2:good_actor,,0.928
751,1:?,2:good_actor,,0.928
752,1:?,2:good_actor,,0.928
753,1:?,2:good_actor,,0.928
754,1:?,2:good_actor,,0.928
755,1:?,2:good_actor,,0.928
756,1:?,2:good_actor,,0.928
757,1:?,2:good_actor,,0.928
758,1:?,2:good_actor,,0.928
759,1:?,2:good_actor,,0.928
760,1:?,2:good_actor,,0.928
761,1:?,2:good_actor,,0.928
762,1:?,2:good_actor,,0.928
763,1:?,2:good_actor,,0.9
764,1:?,2:good_actor,,0.928
765,1:?,2:good_actor,,0.928
766,1:?,2:good_actor,,0.928
767,1:?,2:good_actor,,0.928
768,1:?,2:good_actor,,0.928
769,1:?,2:good_actor,,0.928
770,1:?,2:good_actor,,0.928
771,1:?,2:good_actor,,0.928
772,1:?,2:good_actor,,0.928
773,1:?,2:good_actor,,0.928
774,1:?,1:bad_actor,,1
775,1:?,2:good_actor,,0.928
776,1:?,2:good_actor,,0.928
