inst#,actual,predicted,error,prediction
05725c69da0d367cbbe324d0a506dc6c,1:?,2:good_actor,,0.691
0573aaf259e73daaa453bfb1e682e4bc,1:?,1:bad_actor,,0.762
057680ab393131ef82162999f8fef5cc,1:?,2:good_actor,,0.691
057c9cda23a3305e95850892db81648a,1:?,1:bad_actor,,0.762
058056ab1ce233d8a52da0bba71430d2,1:?,1:bad_actor,,0.762
05899fcbed403c80a7a3ebd654747ea5,1:?,1:bad_actor,,0.997
058c3116f0ec3359983273fd2aeba28a,1:?,2:good_actor,,0.691
058fe065a52136449de2660c497b64be,1:?,1:bad_actor,,0.762
0597a674f19438328c589e5cda0d685b,1:?,2:good_actor,,0.699
059ae642aad43baa822daec44ffc36d4,1:?,1:bad_actor,,0.762
059b1c17db6b3cec8a2f825677716a7d,1:?,1:bad_actor,,0.762
05a43022f55431a691e843b370987f17,1:?,1:bad_actor,,0.762
05a6f6ac19823998bc734e97d2409d62,1:?,2:good_actor,,0.691
05a72b71d0e9322eb4ace514e17545d6,1:?,2:good_actor,,0.691
05acd33d58263aecb4b0c624bba25527,1:?,2:good_actor,,0.691
05b19ff72864350781852ae4dee48883,1:?,1:bad_actor,,0.762
05b20a389645391699ea633c2a82d42a,1:?,1:bad_actor,,0.762
05b87f528b833b628645aec1d9ac2766,1:?,2:good_actor,,0.691
05bf3164b9bc3e72a9f38a7f05d22892,1:?,2:good_actor,,0.691
05bfd9dea8483a9d8a99421a52748dd2,1:?,1:bad_actor,,0.762
05ca346ab1083584b164c706e4295e05,1:?,2:good_actor,,0.691
05caeb28ec7e3af3865d33086b67be84,1:?,2:good_actor,,1
05d01008a8883b7abc63f84af470af1c,1:?,2:good_actor,,0.691
05d14c224f443cd3bde1dc861ac4a420,1:?,2:good_actor,,0.699
05d40b5db2ac3aad915f2ba35d38d99c,1:?,2:good_actor,,0.691
05d4e01c3369319ebb3ac4c22c5e3db1,1:?,1:bad_actor,,0.762
05d533203bda3e638a12c8d56515eeef,1:?,2:good_actor,,0.691
05d54651e59d389e9b0ae261db72a007,1:?,1:bad_actor,,0.762
05dd3f94105a342f9b4f895c43eb09bf,1:?,1:bad_actor,,0.762
05e36819ff663473bf5676bba331002e,1:?,2:good_actor,,0.691
05e65f23f8ac3464ad52d8670ef5cc25,1:?,1:bad_actor,,0.762
05e69d117ad73411b5833ec0ab996866,1:?,1:bad_actor,,0.997
05eaee15c2d03ba2a4199a26465b8911,1:?,2:good_actor,,0.691
05ec87e43e783a72a6df36676dee4fb6,1:?,2:good_actor,,0.691
05ec8b5e7a1039c69976a73eefca799a,1:?,1:bad_actor,,0.762
05f814106ac83dc5904a2d219155caa1,1:?,2:good_actor,,0.699
05fa8266e567342f9ca5096382330f1b,1:?,2:good_actor,,0.691
05fd3e1639d83cc39eef443ff2293ed9,1:?,1:bad_actor,,0.8
05fe0db2938c3fb28d78629d1099e492,1:?,1:bad_actor,,0.999
05ff6596c65a3d639a7658923fcb759b,1:?,1:bad_actor,,0.762
060307b13c6d3045a7b952e1803f87db,1:?,1:bad_actor,,0.762
0606c8fe557834f6ac6af6c9f8f67a10,1:?,2:good_actor,,0.691
0607cefa9a0a370db70558a871ee9fce,1:?,1:bad_actor,,0.762
0608b966719a3a7c8261476594ac9f3a,1:?,2:good_actor,,0.691
