No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
21,45,01384d031ecb3f77a6e31c21ee7d8788,1913,?,0,0,?,8,1,1,0,0,0,0.652318,302,197,1,2516,cluster0
22,46,01393f0e7ad3318dbbed3a2592de20ab,604,?,0,2,?,16,1,32,0,0,0,1.56749,1052,1649,1,19863,cluster0
23,47,013bb5fe7c5e30539930ac4e18a3222c,2101,?,0,1,?,17,1,68,0,1,0,0,627,0,1,143525,cluster0
24,49,014eef555cea39858c757db4b4cc75ad,80,1,0,1,?,12,1,0,1,1,0,11.144928,276,3076,1,2,cluster0
25,50,0156105befb434269d27ae03835f62af,1372,?,0,1,?,13,1,5,0,1,0,0.871094,256,223,1,8181,cluster0
26,53,015d80bb7992373d89199c2e8b234de4,26,?,0,1,?,13,1,3,0,1,1,3,10,30,1,98,cluster0
27,56,017b10c03d983b8ab660d19a7bcbd07e,1463,?,0,2,?,16,1,56,0,0,0,2.264151,795,1800,1,82434,cluster0
28,60,01ae2341628e3506b307151cc797b935,2485,?,0,0,?,20,1,0,1,0,0,4.07619,210,856,1,372,cluster0
29,61,01b5059b6db33133a3a44fb2b8fc3cc2,1580,?,0,0,?,10,1,54,1,1,0,3.226891,1547,4992,1,85333,cluster0
30,62,01b560b1fb6c3761a24be35fc1739853,853,1,0,1,?,7,1,1,1,0,0,9.032258,31,280,1,983,cluster0
31,63,01b8aace8dc6326dbb1f4c09c0727d79,888,?,0,0,?,6,1,45,0,1,0,0.704682,833,587,1,40126,cluster0
